name,album,artist,popularity,track_id,genres,MBID
Blue Sands,Glass Flowers,Elysian Spring,57,4WBv31Au2sx5GXaSV8Q7y4,,21da26c9-e4dc-4ddc-b79d-c7e9c214702e
Moon interlude,Moon interlude,Duhkey,0,5g72TJuBwMewhFvr6gnowR,,
495,FORWARD,Jordan Ward,35,6U3Do24Oaa2JruDP80gvRD,,1592ba81-f73b-4b13-b456-885630a1cfb2
Alone In December,Good Intentions,Hello Yello,14,2pbdaZXyvGI4vpSWP6JR4b,,cabff6d0-4340-4901-9cd7-2d3060bcb340
Good Intentions,Good Intentions,Hello Yello,18,1wHStyw8d3GiqP906Gfsk6,,cabff6d0-4340-4901-9cd7-2d3060bcb340
u.,u.,Humble the Great,0,31YKmnHqN03fMd8XhEy6Et,,84c34688-9b17-40bc-8178-61f6c6baefa7
cool_v2,cool_v2,Merges,58,1ICIA18RiiuG86FKOxwmNp,,c0ea01d9-6c7c-4630-b3b5-472078060abe
NISSAN ALTIMA,Alligator Bites Never Heal,Doechii,85,2dKkVF2m160z0RNDN2dddc,,9f75277c-b283-4846-ac8c-f932255cd0ac
"Sunday Eve, Baby",The Bonnie,Bonnie Calista,31,5Qijvo3zogb96ejSUK6JEV,,
Green Light,B'Day Deluxe Edition,Beyoncé,53,3JdDBUiZ1UJv7J7RQqxEFF,,859d0860-d480-4efd-970c-c05d5f1776b8
